,date,state,cases,deaths,statePopulation,count_fully_vaccinated,count_daily_vaccinations,cases_normalized,deaths_normalized,count_fully_vaccinated_normalized,count_daily_vaccinations_normalized,party_simplified,case_diff_normalized,case_diff,deaths_diff_normalized,deaths_diff
574,2020-03-13,Alabama,6,0.0,1274538.0,0.0,0.0,4.707588161357292e-06,0.0,0.0,0.0,REPUBLICAN,0.0,0.0,0.0,0.0
623,2020-03-14,Alabama,12,0.0,1497772.0,0.0,0.0,8.011900342642271e-06,0.0,0.0,0.0,REPUBLICAN,3.304312181284979e-06,6.0,0.0,0.0
672,2020-03-15,Alabama,23,0.0,1880016.0,0.0,0.0,1.2233938434566514e-05,0.0,0.0,0.0,REPUBLICAN,4.222038091924242e-06,11.0,0.0,0.0
721,2020-03-16,Alabama,29,0.0,1880016.0,0.0,0.0,1.5425400634888212e-05,0.0,0.0,0.0,REPUBLICAN,3.191462200321699e-06,6.0,0.0,0.0
770,2020-03-17,Alabama,39,0.0,2342437.0,0.0,0.0,1.6649327175074504e-05,0.0,0.0,0.0,REPUBLICAN,1.2239265401862917e-06,10.0,0.0,0.0
820,2020-03-18,Alabama,51,0.0,2536020.0,0.0,0.0,2.0110251496439304e-05,0.0,0.0,0.0,REPUBLICAN,3.4609243213648e-06,12.0,0.0,0.0
870,2020-03-19,Alabama,78,0.0,3046005.0,0.0,0.0,2.5607311872436192e-05,0.0,0.0,0.0,REPUBLICAN,5.497060375996888e-06,27.0,0.0,0.0
920,2020-03-20,Alabama,106,0.0,3304259.0,0.0,0.0,3.2079809724358774e-05,0.0,0.0,0.0,REPUBLICAN,6.472497851922582e-06,28.0,0.0,0.0
970,2020-03-21,Alabama,131,0.0,3333968.0,0.0,0.0,3.929251870443868e-05,0.0,0.0,0.0,REPUBLICAN,7.2127089800799035e-06,25.0,0.0,0.0
1020,2020-03-22,Alabama,157,0.0,3333968.0,0.0,0.0,4.709103386715169e-05,0.0,0.0,0.0,REPUBLICAN,7.798515162713014e-06,26.0,0.0,0.0
1070,2020-03-23,Alabama,196,0.0,3511579.0,0.0,0.0,5.581534688526159e-05,0.0,0.0,0.0,REPUBLICAN,8.7243130181099e-06,39.0,0.0,0.0
1120,2020-03-24,Alabama,242,0.0,3687127.0,0.0,0.0,6.563375766552114e-05,0.0,0.0,0.0,REPUBLICAN,9.818410780259553e-06,46.0,0.0,0.0
1170,2020-03-25,Alabama,386,1.0,4308951.0,0.0,0.0,8.958096761833681e-05,2.320750456433596e-07,0.0,0.0,REPUBLICAN,2.3947209952815664e-05,144.0,2.320750456433596e-07,1.0
1221,2020-03-26,Alabama,538,3.0,4456178.0,0.0,0.0,0.00012073126342798694,6.732226585203733e-07,0.0,0.0,REPUBLICAN,3.115029580965013e-05,152.0,4.411476128770137e-07,2.0
1272,2020-03-27,Alabama,639,4.0,4584322.0,0.0,0.0,0.000139388114534712,8.725390581202629e-07,0.0,0.0,REPUBLICAN,1.8656851106725074e-05,101.0,1.9931639959988962e-07,1.0
1323,2020-03-28,Alabama,720,4.0,4605055.0,0.0,0.0,0.00015634992415942915,8.686106897746064e-07,0.0,0.0,REPUBLICAN,1.6961809624717138e-05,81.0,-3.9283683456565354e-09,0.0
1374,2020-03-29,Alabama,830,5.0,4623123.0,0.0,0.0,0.00017953232046822028,1.0815200028206041e-06,0.0,0.0,REPUBLICAN,2.3182396308791132e-05,110.0,2.1290931304599772e-07,1.0
1425,2020-03-30,Alabama,947,11.0,4688897.0,0.0,0.0,0.00020196647527126317,2.3459675057908076e-06,0.0,0.0,REPUBLICAN,2.2434154803042884e-05,117.0,1.2644475029702035e-06,6.0
1476,2020-03-31,Alabama,999,14.0,4688897.0,0.0,0.0,0.00021305650348045607,2.985776825551937e-06,0.0,0.0,REPUBLICAN,1.1090028209192907e-05,52.0,6.398093197611292e-07,3.0
1527,2020-04-01,Alabama,1108,28.0,4773758.0,0.0,0.0,0.0002321022557071389,5.865399963718312e-06,0.0,0.0,REPUBLICAN,1.904575222668283e-05,109.0,2.879623138166375e-06,14.0
1578,2020-04-02,Alabama,1270,32.0,4826100.0,0.0,0.0,0.0002631524419303371,6.630612710055738e-06,0.0,0.0,REPUBLICAN,3.105018622319821e-05,162.0,7.652127463374268e-07,4.0
1629,2020-04-03,Alabama,1535,38.0,4867991.0,0.0,0.0,0.00031532515158717427,7.806094957858386e-06,0.0,0.0,REPUBLICAN,5.217270965683716e-05,265.0,1.1754822478026472e-06,6.0
1680,2020-04-04,Alabama,1632,44.0,4867991.0,0.0,0.0,0.0003352512360848654,9.03863626699392e-06,0.0,0.0,REPUBLICAN,1.992608449769115e-05,97.0,1.232541309135534e-06,6.0
1731,2020-04-05,Alabama,1840,45.0,4867991.0,0.0,0.0,0.00037797933480156394,9.244059818516509e-06,0.0,0.0,REPUBLICAN,4.2728098716698513e-05,208.0,2.05423551522589e-07,1.0
1782,2020-04-06,Alabama,2005,53.0,4867991.0,0.0,0.0,0.00041187422080279115,1.0887448230697222e-05,0.0,0.0,REPUBLICAN,3.389488600122722e-05,165.0,1.6433884121807137e-06,8.0
1833,2020-04-07,Alabama,2197,64.0,4867991.0,0.0,0.0,0.00045131554269512824,1.3147107297445702e-05,0.0,0.0,REPUBLICAN,3.944132189233709e-05,192.0,2.259659066748479e-06,11.0
1884,2020-04-08,Alabama,2498,67.0,4867991.0,0.0,0.0,0.0005131480317034276,1.3763377952013469e-05,0.0,0.0,REPUBLICAN,6.183248900829935e-05,301.0,6.16270654567767e-07,3.0
1935,2020-04-09,Alabama,2838,78.0,4876914.0,0.0,0.0,0.0005819253732995906,1.599372061922765e-05,0.0,0.0,REPUBLICAN,6.877734159616304e-05,340.0,2.230342667214183e-06,11.0
1986,2020-04-10,Alabama,3008,80.0,4876914.0,0.0,0.0,0.0006167834823414971,1.6403816019720666e-05,0.0,0.0,REPUBLICAN,3.4858109041906496e-05,170.0,4.100954004930146e-07,2.0
2037,2020-04-11,Alabama,3262,93.0,4876914.0,0.0,0.0,0.0006688655982041102,1.9069436122925276e-05,0.0,0.0,REPUBLICAN,5.2082115862613076e-05,254.0,2.6656201032046103e-06,13.0
